RecordID,Date,Country,TemperatureAnomaly_C,CO2Level_ppm,ExtremeWeatherEvent, EconomicImpact_USD ,PopulationAffected
7af9ba6f-b8aa-4c32-8979-b4e9e6ae64c3,7/13/2010,China,1.09,413.29,Wildfire," 2,422,632.58 ",1776224
5edb43e8-9a7b-40b0-95f3-f093d5f3446d,5/8/2018,France,1.69,382.56,None," 6,580,400.19 ",1197957
bc21e8b2-9aef-46e8-a42c-730a98ac3f0b,4/12/2020,Canada,1.99,416.55,Tornado," 633,900.96 ",3554866
a8eb78f1-83f8-4296-a693-41938c823b53,5/4/2018,USA,-0.41,361.65,Flood," 9,258,488.23 ",1612221
ad4c57e3-f48f-4141-bdc5-130d2b5074bb,3/31/2010,Brazil,-0.43,366.68,None," 9,534,338.73 ",1152756
2c6abd83-11bb-4080-bba2-0bc2a0bac7ab,3/8/2011,USA,-0.93,393.46,Tornado," 9,505,097.47 ",1640197
5e1a2816-f077-4222-ad41-f39b879c4338,10/22/2008,France,1.09,387.27,None," 1,507,262.55 ",3218715
36f6a596-e28b-4790-90ba-452f9190842d,10/30/2007,Australia,-1.52,394.66,Wildfire," 1,677,406.70 ",1803739
19832054-3715-48de-8e56-6249bfc46e7a,2/25/2018,Brazil,1.88,365.95,Drought," 1,459,154.46 ",1185941
617f4cea-57e8-4143-b269-016be02c93e3,9/16/2012,Australia,-0.09,388.87,None," 7,762,421.73 ",2246483
9f824581-3088-468b-8df5-75009cfa4347,3/4/2013,Canada,0.6,377.81,None," 2,473,114.36 ",223275
34ac17f6-e7b1-4219-886c-a3c72ff84faf,9/5/2011,Japan,1.74,404,Flood," 2,816,078.31 ",3237355
ff27adbe-1f44-4654-96f4-e6800200274c,12/25/2011,Germany,0.71,350.4,Tornado," 2,156,886.88 ",3546921
3eb55a07-27fb-4693-a015-d9d3572c11ef,4/30/2003,Russia,1.8,371.26,Heatwave," 9,233,970.54 ",2596997
6c680021-a87f-4f0d-a7d8-bc187612290c,10/22/2002,Australia,-1.32,391.13,Flood," 2,126,921.20 ",3434569
990a68c3-df7c-41bb-8a0c-b89b9ad0d88a,7/23/2009,China,0.43,372,None," 4,945,246.37 ",2097644
c2ed5571-1882-4057-bb27-e6a02f726a9a,12/24/2018,China,1.16,396.97,Tornado," 4,744,553.78 ",2442540
555646dd-79b2-46d4-a1db-e1d8ce778aa4,1/10/2008,Russia,0.4,366.89,Heatwave," 7,194,192.33 ",109226
7ba566cd-0cba-4da4-b11f-7bfcfe081a85,4/13/2005,Germany,1.32,397.09,Heatwave," 1,757,404.94 ",251088
afc4dc7f-3ac5-46e7-baa0-28b4992f547e,5/18/2011,Canada,-0.25,388.49,Drought," 6,134,069.19 ",295356
4be8567b-ca1e-4013-9c6d-ee4177aba195,4/8/2002,Japan,1.88,367.53,Drought," 2,349,581.49 ",1996973
d38a6583-2fee-496b-80c3-d834fb87421e,3/27/2000,China,-0.52,357.56,Drought," 3,279,832.35 ",4240546
f5fb05ec-1619-4297-94e2-2bcaa5118801,6/29/2010,USA,-0.29,414.26,Wildfire," 63,531.35 ",34945
7b9fd74c-e1a6-45e4-a61a-c805d88a5677,6/10/2000,Japan,-2,356.19,Drought," 2,671,872.42 ",4985959
8e1da927-d2a9-4c41-b7ad-d09afb95951a,4/25/2002,Canada,-0.29,366.06,Tornado," 5,315,324.49 ",47368
a8828002-1f7a-429d-964a-d6d84f143a58,2/18/2010,Brazil,0.14,400.66,Heatwave," 9,318,240.52 ",1896752
07c8e57d-bea8-4fb1-8bd5-865f2c170048,5/8/2009,China,0.81,390.94,Heatwave," 3,650,188.88 ",4124761
48f708f5-4f0f-4493-902b-2ea0e0fd58be,1/1/2005,China,-1.59,374.66,Heatwave," 2,424,817.69 ",3714606
f104a3f1-612f-40f4-847a-160fb74ba945,12/20/2004,Japan,-1.62,399.89,Heatwave," 5,529,074.52 ",3337570
9f6bd782-8a95-48ad-8ce6-72d8921b12a5,6/7/2009,USA,-1.3,371.14,Tornado," 79,511.33 ",3440074
7c29d763-9810-4eed-8252-d35832fe16c3,12/22/2011,France,1.63,416.64,Heatwave," 1,402,325.57 ",4985837
2172f033-e4a7-4cf1-a86c-5282176f490b,4/17/2017,Brazil,0.4,385.14,Hurricane," 100,096.15 ",4080871
41ac4fef-b261-4697-8ddd-70f3bc779f90,12/19/2017,France,-0.4,407.06,Heatwave," 7,839,929.95 ",2630661
c7b52377-d900-4028-a8e2-060d702cb650,8/29/2018,China,1.27,363.31,Tornado," 1,515,947.46 ",2785115
8251b159-579d-498f-8aa0-10085ee81a9c,3/29/2011,Russia,1.5,380.91,Tornado," 4,535,166.45 ",1534691
1583782b-b063-4932-bea5-df2fa2d35c01,12/28/2009,India,0.93,357.75,Flood," 4,200,152.83 ",2088114
f4ce7f71-83fa-4569-94c9-fc0b6f8f2aab,10/3/2011,Brazil,0.32,385.86,Heatwave," 4,924,403.66 ",3456981
1329e137-1dc0-4bb7-afe3-6cfde03ac6ac,8/25/2014,USA,0.1,360.71,Drought," 7,579,009.67 ",4135745
4bd7e97d-e5cc-4ea3-bd1a-f228ce8c7ca8,2/13/2002,Brazil,-0.71,371.24,Wildfire," 3,430,138.47 ",1001447
326d5537-249a-44b1-b614-607851ac6875,2/17/2014,Russia,-0.53,410.79,Wildfire," 6,345,458.33 ",1538430
8b6bb60e-703d-4ee7-b803-eac5546c086d,9/24/2023,France,-0.16,380.54,Heatwave," 4,596,783.17 ",1376782
ee4e587e-4db4-467d-a08c-379b43564fc7,6/1/2000,France,-0.74,361.21,Drought," 1,541,743.49 ",2070684
2abc0e03-9a21-4923-982d-5f914cd57817,1/16/2008,Japan,0.51,416.91,Tornado," 2,781,410.86 ",3928557
2fa31e95-370a-41be-b597-c871b46aef8f,5/13/2023,India,0.72,401.56,Flood," 1,839,706.03 ",3355106
f5d155df-529d-4839-9d4c-1d84f9917e1f,8/29/2000,Brazil,-1.51,378.16,Drought," 4,704,374.43 ",335958
2d88dbca-cf7d-424e-9dd9-299c5a383a8f,2/9/2008,Australia,-1.47,405.4,Heatwave," 3,571,992.35 ",1205518
77d5f499-9c28-45ad-bac5-851edbda96f2,10/8/2021,Australia,-1.85,397.46,Wildfire," 9,760,639.48 ",1848060
58381955-64e3-4d9b-9933-4f4dd848df83,5/13/2016,Canada,-1.76,368.38,Wildfire," 8,293,895.88 ",2724712
267bf706-076f-43a1-be03-916507dbb170,5/12/2014,China,-1.45,357.24,Flood," 6,956,128.81 ",1536416
f8cf0181-a075-464c-bdfc-1067ef742fde,5/4/2016,Germany,1.83,407.94,Tornado," 9,868,927.71 ",1207491
b22abe36-acc7-45a1-bbeb-f587ab944484,3/31/2002,Canada,1.9,400.7,Hurricane," 1,985,918.84 ",2610721
7fb1c6ee-5ed0-4d15-8e59-09ed491f3cff,2/24/2008,USA,1.9,407.94,None," 6,312,691.14 ",3539775
6752cecd-7182-44d8-98a1-ed360e83d9ab,3/16/2020,Germany,0.57,361.05,Flood," 7,971,630.03 ",174733
c44b092e-1861-4217-a577-b922c662b1fa,1/8/2022,Brazil,-1.41,350.46,Drought," 8,450,393.83 ",3949321
a761858d-2ea3-494e-ab8d-49887461b49e,8/3/2012,Germany,0.1,411.62,Tornado," 1,629,273.75 ",3573433
072e21f6-af0d-4d15-8fc1-8b1329df6114,10/15/2004,Germany,-0.61,361.99,None," 8,265,474.67 ",1132520
f3b44f1b-e609-494d-9fa3-d6372dc3e6cb,12/29/2005,Australia,0.69,406.84,Wildfire," 540,109.89 ",1239850
386bb588-9512-4bee-8738-154ce15eac22,11/18/2009,Australia,1.14,369.89,Drought," 8,356,374.15 ",1220343
a3840466-c5df-4581-9dd5-8e90bc919185,12/26/2019,Canada,-0.43,393.34,Tornado," 612,041.48 ",322572
f5615b0f-78f6-4a86-b4e4-9bd4b35f8430,6/16/2015,India,-0.63,416.88,Hurricane," 3,807,300.80 ",4676572
12f4d669-a286-41bf-94f8-76abe3a8ba73,5/7/2022,Brazil,-0.26,366.88,Heatwave," 3,746,466.63 ",3872354
7884bcf9-608b-44e1-834f-95633890cc14,10/10/2015,Canada,1.15,406.47,Wildfire," 2,647,791.60 ",3118104
5101d161-8cb1-432d-8e89-b27aad4cb6c4,11/14/2016,India,0.63,351.37,Heatwave," 7,200,685.09 ",1344843
a1d35734-31bb-4cb6-89ac-832c164588ea,12/26/2020,USA,1.26,354.97,Wildfire," 3,454,841.85 ",3340738
2d3343c6-9bb0-425f-9633-4e9efa2f1646,1/22/2017,India,1.59,398.59,Hurricane," 4,910,032.35 ",3093883
e4d002ca-18e1-463e-827d-abac5055b072,10/26/2004,Japan,-1.24,408.36,Heatwave," 2,068,148.05 ",817828
68a9047c-97bd-4bbb-899c-e2754aa60032,12/14/2001,Canada,-0.76,387.43,None," 9,733,522.41 ",3712057
eca595f5-a231-4cbc-a81d-431d7bf475d5,11/28/2023,Japan,-0.66,388.16,None," 6,333,584.42 ",1467881
55370ee3-80ab-4b87-b9d6-5020ecbf3224,6/16/2002,Canada,1.81,418.39,Wildfire," 1,523,465.93 ",2827052
7891660a-3a5b-49ec-8ef5-77e638588fc9,8/5/2017,China,-0.39,360.34,Hurricane," 4,184,612.36 ",3121751
47fd7bf5-1680-4d6a-9bf2-5511f9b189df,12/21/2003,France,-0.75,394.87,Heatwave," 9,952,987.16 ",3306588
f26e1e17-b42b-4d87-b640-928d9b802cea,7/17/2021,China,-0.8,376.04,Flood," 4,201,054.66 ",1711755
6cee90af-6dd3-44e5-9878-f1e3e5941272,6/7/2019,Brazil,0.54,367.76,None," 7,857,749.73 ",1373059
bade368c-1e1a-45c2-8abe-59643c60445c,5/21/2000,Japan,1.83,408.76,Wildfire," 4,142,954.20 ",3496930
7787b671-69ed-4506-bdf7-52d370b7ff91,3/9/2014,Japan,0.74,412.96,None," 8,383,645.20 ",3994306
44ef1403-ab3b-44f4-9275-758917cb4b0e,3/8/2010,Brazil,0.02,361.46,None," 9,928,086.68 ",2076107
7996976f-7afa-4151-b1ca-2537794f259b,4/4/2023,India,-1.07,406.38,None," 3,711,655.47 ",11257
15bdf690-2163-4534-a937-6435c2aac4fd,3/24/2020,Russia,-0.14,391.91,None," 3,718,824.08 ",353065
0b290998-2923-4e32-843e-9888a7a3e70d,8/23/2023,Brazil,1.87,406.15,Tornado," 7,208,942.42 ",2266836
73d959f4-f82f-44b3-b8aa-5ef51ed2d8e3,4/4/2020,Australia,-0.08,350.21,None," 3,735,017.27 ",574537
4a30f8e8-65f2-413a-bf7c-7d4413b1cb14,12/26/2008,Germany,-1.76,416.62,Hurricane," 3,070,388.94 ",4675619
4f36a434-c056-4a50-bfa0-a7d66b528bb1,3/2/2003,Brazil,-1.73,374.95,Flood," 4,560,345.36 ",680820
ae559ca5-be45-4bf7-a084-7f1f62a8d94d,1/11/2010,Brazil,-0.82,412.58,Hurricane," 5,659,871.11 ",1647605
2bede56c-25b6-4e45-a1a7-4f92bd880df4,5/11/2006,China,-0.17,355.22,Wildfire," 858,118.82 ",4338303
f3c68ad4-885b-416b-82ef-68a081bbc015,8/29/2011,Australia,-0.55,364.18,Hurricane," 6,723,521.11 ",4889462
6c2d6a44-af2f-4e6e-9308-6185fa216360,8/30/2022,China,-1.73,417.83,None," 4,026,086.81 ",3447978
61428688-7973-4f45-9d24-496021027918,12/17/2005,Brazil,-0.03,402.17,Hurricane," 4,032,075.65 ",2969907
2c0b63e4-aba8-4b3f-a4e3-1ccfa98d2148,12/16/2006,Russia,0.64,410.38,None," 1,832,543.63 ",3723381
c17186dd-b98d-4204-ad75-19dcda87ee61,5/19/2023,France,-1.2,378.28,Wildfire," 6,052,332.63 ",1857942
95157d20-1a54-433d-a080-4263b06b3d3a,9/10/2020,China,-1.14,362.32,Tornado," 8,511,771.10 ",4383526
d8501def-b406-45f1-a46c-9c5e2e98203e,8/14/2014,Germany,-1.96,417.29,Flood," 5,690,674.04 ",3594258
c37cb435-17d9-4116-94bc-ecebbab639aa,2/27/2013,India,0.08,394.59,Wildfire," 9,584,423.00 ",4880813
b4c090b6-9e6c-47f7-b9a9-207bfcc50a9c,4/29/2023,Russia,0.82,405.78,Hurricane," 727,065.93 ",126090
338d162f-57f4-4acc-bfaa-024a8a664d11,7/23/2004,Canada,-1.47,369.52,Hurricane," 1,472,998.37 ",4826609
63cf5279-69c2-4c64-bca1-b68fef570553,1/11/2004,Canada,0.99,377.75,Hurricane," 8,338,322.63 ",2422579
6f9e2771-d864-425f-b468-98fa91fa8af1,8/1/2021,India,-0.41,398.62,Hurricane," 5,609,775.83 ",2919235
39a321f6-4ab7-4875-ae23-97e8d1623bc9,10/18/2005,USA,-1.97,381.76,Heatwave," 8,284,270.73 ",4154282
5fd083fd-e4a4-45f8-8e8f-a0ba352cd466,3/6/2013,China,0.84,380.16,Wildfire," 1,912,328.46 ",3409840
bdfe979d-f2d2-43fd-b937-8d30bb8881c2,3/10/2005,China,0.12,408.59,Flood," 876,787.99 ",75430
24f2bb58-c91c-46e2-86e3-61ae57d03f68,10/14/2011,Canada,-0.76,363.66,Flood," 3,837,008.68 ",655084
fd554ff0-40f5-4196-b93b-03e13d0ab94d,9/20/2010,Japan,-1.16,409.28,Tornado," 7,364,731.13 ",71748
a36a06ce-3a77-432a-ad72-14b076ff9616,5/7/2023,Japan,-1.59,395,None," 6,097,776.38 ",562635
d1648c26-8ed2-4131-bb3a-c66d4f89c7b4,2/26/2008,Canada,1.49,398.51,Hurricane," 7,696,154.93 ",2111527
98ce85c6-f5f2-4eb2-bbc5-253c12b19d9f,3/28/2000,Japan,1.18,373.7,None," 8,372,577.04 ",4334807
ad5898fc-3011-40be-a7c1-4551915003e5,1/31/2013,Russia,0.24,350.55,Heatwave," 1,053,566.00 ",1144700
5824961a-2c25-4aa0-94a9-ab5794a67555,1/26/2016,France,-0.96,387.32,Wildfire," 395,482.50 ",2201135
f12d8f99-65c1-4e4a-9eb1-96068f6961a3,7/1/2023,India,-1.13,407.89,Heatwave," 2,229,900.01 ",402019
0ddf1f84-2a72-44eb-8881-868aa8349230,10/2/2011,India,-1.08,415.08,Tornado," 4,796,274.90 ",4252678
26c758c1-9a13-46fe-967e-553ef8c1ccee,5/17/2014,Canada,1.33,410.99,None," 9,681,716.94 ",4477432
6eaf0707-278c-474c-a5ca-95541034682f,7/15/2021,China,0.78,405.09,Wildfire," 8,250,115.43 ",2452739
1c6b3951-0412-4501-b212-6ef7c27c1f12,8/11/2023,India,-1.66,391.72,Hurricane," 5,154,815.42 ",956154
eeda448e-3839-46dc-9b5a-2e4a1c239fb2,2/20/2003,India,-0.44,399.64,Hurricane," 2,339,961.39 ",375326
1ab91f26-7822-4289-86fb-739f3a36d626,3/2/2003,Canada,1.63,397.48,Wildfire," 4,788,244.32 ",2029950
a7861630-ac0c-4c66-ba19-c8597535727b,6/18/2012,France,0.02,385.92,Hurricane," 9,348,112.48 ",2448475
fd2ca2a2-cf04-4af9-8c51-780507fef47a,2/10/2012,Australia,-1.5,377.03,Hurricane," 363,147.79 ",1897015
819ab3c8-0bf6-4c67-8e56-64a3faceed81,12/12/2015,France,1.44,412.27,Wildfire," 8,112,131.51 ",308630
900ad61e-937e-4067-9aff-8ecec87f0140,11/28/2015,Brazil,1.04,419.49,Wildfire," 1,954,003.35 ",1005336
77e555e0-ed75-4d11-a4ea-c4b579cfa60e,10/23/2010,USA,-1.19,417.55,None," 4,234,166.57 ",2576149
dab265ed-c12a-43f6-aaa2-a2ddfe192b03,6/3/2010,USA,-1.14,355.95,Heatwave," 8,591,864.47 ",3145814
51db6c76-0fef-4ec0-9bd4-d1409ed71db7,1/23/2007,Australia,1.71,374.85,Hurricane," 7,248,069.90 ",2883320
5aba3f84-9bc1-46f7-b8da-408d8bf8c69c,11/20/2017,Canada,0.93,411.74,None," 761,297.53 ",4460025
ff463716-5bd5-465b-b34c-78cd02ec3003,8/25/2002,Germany,-1.97,361.07,Drought," 2,106,703.69 ",28692
eadc59b9-cb05-4fa3-9744-410b6ce6504d,2/11/2020,Russia,1.2,416.97,Drought," 7,865,861.43 ",4642260
0632c048-354e-4721-b373-8baace0715ba,4/13/2004,Japan,-0.96,372.63,Wildfire," 5,794,657.07 ",2303495
744f00eb-8bce-40c7-b9ef-18d1438e4d3a,2/28/2016,India,1.65,374.65,Tornado," 5,792,236.40 ",2977019
eff9fa65-8097-47c8-a79f-4393f9d3b108,4/11/2009,Canada,1.43,369.44,Hurricane," 2,420,158.84 ",4456322
bfabecfa-c980-4823-bc87-df11d020373f,6/3/2017,Canada,-0.92,415.38,Heatwave," 336,168.23 ",4867337
73f10e23-c5fc-4c99-824d-217c970d975e,5/14/2023,USA,-0.65,405.04,Hurricane," 4,539,828.94 ",539552
5c8acbf7-b57a-42f3-8d53-2c93fab1751e,1/2/2021,Australia,1.73,378.89,Tornado," 5,771,406.39 ",1913613
10c3d8fe-0ed5-4b21-8a67-6b42383791a5,4/26/2006,China,1.82,368.27,Flood," 2,667,782.26 ",3437363
9800c4ce-8163-499a-a9fd-0b8128344a46,6/26/2021,Germany,1.97,360.87,Flood," 2,621,074.07 ",3669140
b7356ab9-b2ea-482e-a478-4733f3076d75,9/19/2013,USA,-0.79,388.42,Wildfire," 672,882.34 ",3286085
70dde9d7-7992-456a-aeee-2da67c0bb0c2,1/22/2019,Russia,-1.2,418.15,Wildfire," 5,615,289.36 ",804483
dd982b4c-3007-45fe-83a2-780ab6c213fc,7/13/2022,Japan,1.14,415.87,None," 9,645,261.22 ",4121292
93257eec-6c0b-49a0-856f-ad78abeac38d,4/7/2016,India,0.15,351.78,Wildfire," 8,022,389.46 ",3395002
3b857359-0c5d-4c86-b790-2ecbcace4143,1/5/2007,India,-1.66,396.13,None," 4,547,019.14 ",2958914
7b626785-e6d1-4492-8a20-666fbdd51b5c,9/6/2006,Brazil,0.43,378.5,Hurricane," 4,558,332.90 ",2907593
091b248d-9afa-4a8e-87c6-715c23ac176d,4/27/2010,Canada,-1.29,352.67,Tornado," 1,018,779.64 ",4891043
fb8493c2-bce8-44ed-84ae-2598781bd857,8/22/2003,Brazil,1.26,394.3,Drought," 4,297,983.09 ",4515599
144f6ff3-5fc2-4739-8d52-294612d8f376,9/28/2008,Japan,1.16,384.32,Wildfire," 8,982,090.71 ",1334859
e1308d09-6261-466c-8399-9bdb429f894b,2/13/2015,Australia,-0.8,403.51,Drought," 4,375,508.60 ",2024062
08fed943-714d-4049-8899-15b51b39786b,10/22/2012,USA,-1.94,418.72,Wildfire," 4,579,034.21 ",3967499
4081d59a-ce7c-405c-91a5-9eccf873c103,4/3/2001,Japan,1.67,373.19,Wildfire," 8,666,195.66 ",3106545
d6026bfd-958e-4b35-8d03-e2745a4d278a,2/25/2014,Canada,0.18,395.36,Wildfire," 4,709,041.72 ",4649397
7f55348e-8dd5-453c-aad5-551c405dcd25,1/7/2020,France,-1.02,352.36,Drought," 1,133,068.40 ",1497606
6564c2e2-b885-491a-b5a1-5f252b47fd45,6/15/2008,Brazil,0.06,355.4,Drought," 3,197,933.68 ",1504117
e690c993-f79f-44af-acd4-4ab8f532346b,4/5/2007,Canada,1.05,408.15,Wildfire," 1,132,290.86 ",723821
0c3e72e2-fc7c-4321-954c-8e12e2d01ee8,3/18/2018,Russia,0.08,384.24,None," 3,331,013.23 ",100504
bc6dbdce-f687-4d54-a182-9f1352981769,5/20/2013,India,-1.35,374.91,Flood," 7,499,736.57 ",4731018
4a4cdf28-8116-416f-ab6e-a88fa8037987,6/24/2002,Brazil,0.81,414.04,Wildfire," 680,020.42 ",2034833
f2842da9-4c6e-4e0e-8fca-6facfb539b15,2/14/2007,Russia,0.39,408.11,Flood," 7,700,366.03 ",3490630
d7c79e9b-13d8-45d5-a896-140d0f4e3df2,4/19/2003,USA,1.92,371.86,Flood," 6,672,626.82 ",4931351
2b6aa0fa-43d0-4549-ad23-2efaf2e14153,3/12/2018,France,-1.54,411.73,Tornado," 9,828,521.42 ",2058378
7800cc2e-3148-4c03-9560-ddd4b040187d,6/7/2003,Japan,0.11,373.52,Heatwave," 7,534,975.47 ",1355595
155bc860-f153-4fd3-8ad7-c0379f3197ba,7/11/2018,Germany,-0.32,374.85,Drought," 7,179,779.74 ",3799492
25828001-4268-4974-935f-6e93d12c6e38,8/2/2002,Canada,-0.76,375.89,Tornado," 2,372,429.46 ",2843521
bb77441a-e715-48c0-82d5-c91c30854fe5,4/6/2012,Germany,-1.05,371.42,Drought," 5,060,253.05 ",4073332
e23c22ff-277a-439d-a296-56d0b88c75f2,3/2/2003,Germany,1.2,365.58,None," 8,451,965.77 ",582704
8216c42a-e6a9-4daa-bacc-37ed896e08f7,5/19/2012,India,1.06,392.98,Heatwave," 1,512,421.60 ",775587
79cd54fe-a67e-4d0c-a299-5e5e57bc6c97,5/1/2005,Brazil,-0.3,381.71,Wildfire," 4,915,801.00 ",3510365
d401f17a-a8d9-4ed2-afd0-ebc29820b6fb,11/7/2002,China,-1.81,374.82,Hurricane," 1,772,435.46 ",525898
97155116-4e76-4a72-95aa-bf6e11d032c0,7/11/2021,China,0.03,382.29,Wildfire," 2,195,547.33 ",3694438
780ee957-889f-49fc-af6e-25e4dc5345cc,3/27/2016,Russia,-1.55,368.65,Heatwave," 1,645,956.83 ",2109856
bd39223f-0f33-4982-91c5-1d1bbcf3131f,7/12/2009,India,1,400,None," 8,072,628.50 ",4717248
b9c5f15b-c99b-408f-a533-143fbd07ee05,10/13/2009,Canada,1.71,374.49,Hurricane," 7,727,564.18 ",32823
19c5642f-7952-4d77-8654-e2ba28648000,6/7/2023,China,0.25,396.47,None," 4,484,925.01 ",1970594
d98c0f86-cd79-43cb-9375-4a2fe53d0317,11/12/2012,Russia,1.83,407.62,Wildfire," 4,914,151.17 ",4365739
528d3bb6-2785-4acd-b272-6d6a38396193,3/29/2012,Australia,-1.67,419.86,Drought," 4,221,205.67 ",1351689
94a1f691-e02b-4680-a225-fc909e0d3bc1,3/30/2014,India,-1.55,367.77,Wildfire," 1,141,845.84 ",1348186
6b139aff-df14-4951-a5db-3e4823233acb,4/17/2003,Japan,-0.46,369.34,Flood," 686,435.80 ",3137259
c4e9b620-1b73-4d19-b148-1077a8a4d781,9/11/2014,Canada,-0.63,383.18,Tornado," 8,711,676.93 ",3745000
b7314a94-0c8c-4c83-9d3c-990c7ceef86f,12/14/2007,France,-0.38,377.72,Flood," 4,044,549.22 ",4943930
6a654c53-968c-4468-b1dd-095f486fb959,5/15/2018,Brazil,0.66,355.11,Heatwave," 832,051.80 ",3274806
560d0bf4-0c09-48da-a309-94266e46f3fe,10/8/2012,India,1.11,413.29,Wildfire," 4,693,675.53 ",4226937
159c50f1-ecb3-436e-a5ea-98f35c993db4,4/3/2005,France,1.06,353.63,Tornado," 8,663,199.43 ",507253
e1fde182-7719-44c0-8a0f-c094b0ff8244,11/4/2019,Brazil,-1.36,403.63,Flood," 5,443,275.28 ",1597550
4f538140-9c80-4869-85e2-cd40de94783d,6/6/2023,India,1.3,409.35,Drought," 1,333,602.36 ",2470764
4ac256a3-f368-4049-8d82-462f5908adfb,2/1/2020,Brazil,-0.68,389.51,Hurricane," 2,101,664.47 ",1868388
aab1b1fb-f0d2-4973-8452-8b3bc254ba3b,1/19/2023,Brazil,-1.85,414.14,Wildfire," 536,801.17 ",4967110
38157548-485e-4845-a2da-cf1be6997d7d,12/9/2021,Japan,0.28,385.36,None," 9,982,403.32 ",1451235
e5b4e073-d126-48dd-b8e7-95b75c8b02ac,9/26/2022,India,0.25,404.64,None," 1,896,398.50 ",817627
c2434b0a-157b-407e-a8bb-127b69add0ad,1/30/2014,Russia,-0.33,374.53,None," 5,634,084.82 ",2928810
45f17702-cddb-4423-a608-87ebc625b928,4/7/2015,Brazil,-0.79,412.67,None," 6,560,165.16 ",4021154
72fabce1-aafd-4182-9bb3-bb072c6056fd,1/31/2017,Brazil,-0.17,409.02,Flood," 3,903,116.06 ",4078338
87fb0cd4-f96d-4f5c-8c0b-c23254ec531c,5/30/2015,Brazil,-1.17,386.03,None," 5,890,173.23 ",2429996
b8c7a1a7-aa1c-4f37-9f95-4805a6078bbf,11/21/2010,Brazil,0.7,379.3,Tornado," 6,712,202.82 ",1654282
45b21606-32f5-4c07-a068-e1f3b0cf4d0e,6/12/2017,Japan,-1.6,413.73,Drought," 7,027,378.27 ",4673300
1d2a5ab1-32c5-4ec1-bd3b-1d2944f520cf,5/2/2015,France,0.08,371,Tornado," 7,504,185.43 ",4858641
0563cf75-b3c8-4544-8336-ddd775bfb380,7/14/2021,USA,-0.73,391.19,Heatwave," 2,496,063.51 ",2662520
28fd7b60-39ec-431f-9832-8e365997ce6b,7/27/2014,Australia,-1.63,410.13,Tornado," 928,480.27 ",3642273
5ea19c8c-4d2e-438e-ba4c-6411c255946e,8/17/2019,Russia,-0.47,390.49,Flood," 8,065,850.59 ",1613398
dd818c34-ab2e-4e8b-bf4d-da2debeb8a53,10/3/2009,Russia,-0.57,354.96,None," 1,136,370.07 ",2238031
c2025378-70ad-457b-87ea-fc294d4d5de9,2/8/2023,India,-0.14,356.53,Hurricane," 3,049,442.41 ",538035
73a0442b-91e3-429b-b54a-87d7f558bb73,4/9/2004,USA,0.34,392.8,Flood," 9,478,138.76 ",2366828
b50505d6-ede5-453f-8d28-08927b2f8418,1/12/2015,France,-1.99,383.72,None," 5,003,052.77 ",72952
00a1a4d3-6b06-477d-bdc5-f2e400048a45,10/26/2002,Russia,-1.06,412.83,Hurricane," 7,688,339.13 ",438649
83e2d21d-5f67-4253-8173-fca8d1caed42,7/16/2011,India,1,404.72,None," 8,410,742.53 ",3240159
53099776-d831-4eb6-a79f-119bcce1d3d9,8/22/2008,Australia,0.64,380.53,Hurricane," 8,559,071.79 ",304291
484c5c4f-3706-48a2-ba88-c0e40de1d4a6,7/18/2015,India,1.77,366.77,Hurricane," 9,049,878.15 ",3537700
